Office for Lease - 9/16/2016,1,1,7677 W. Emerald St.,7677 W Emerald St,7677,Boise,Idaho,83704     ,3000 SF,1500 SF,Office for Lease - 9/16/2016,Medical Office,$1.04 /SF/Mo,$12.50 /SF/Yr,,Modified Gross,20333894,Steve Cannariato,FIELD UNAVAILABLE,stevec@hcollc.com,(208) 376-6800,Dental office with space #7677 available. Nice Floorplan  Lockbox on exterior doors. Please call listing agent for code.,http://www.loopnet.com/lid/20333894,
West Bench,2,2,Westpark Towne Plaza,633 Milwaukee St,303,Boise,Idaho,83704     ,,9950 SF,West Bench,Power Center,Negotiable,Negotiable,, ,16733698,Tim Thornton,Intermountain Commercial Real Estate,tim@icrellc.com,(208) 429-8603 Ext: 3, ,http://www.loopnet.com/lid/16733698,
West Bench,1,1,West Valley Business Center - Bldg E,9504-9522 Fairview Ave,9522 Fairview Ave,Boise,Idaho,83704     ,11983 SF,2121 SF,West Bench,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,17314864,Charlene VanOstrand,The Sundance Company,charlene@sundanceco.com,(208) 322-7300,Corner suite with 4 private offices  open work area conference room and break area. New carpet and paint looks great! Full service less janitorial.,http://www.loopnet.com/lid/17314864,
West Bench,3,1,West Valley Business Center - Bldg A,9422 - 9434 Fairview Ave,9424 Fairview Ave.,Boise,Idaho,83704     ,11727 SF,1904 SF,West Bench,Office Building,$0.92 /SF/Mo,$11 /SF/Yr,,Full Service,17314861,Charlene VanOstrand,The Sundance Company,charlene@sundanceco.com,(208) 322-7300,Open work area 2 private offices break counter and private restroom. New carpet and paint.,http://www.loopnet.com/lid/17314861,
West Bench,3,2,West Valley Business Center - Bldg A,9422 - 9434 Fairview Ave,9428 Fairview Ave,Boise,Idaho,83704     ,11727 SF,1206 SF,West Bench,Office Building,$0.92 /SF/Mo,$11 /SF/Yr,,Full Service,17314861,Charlene VanOstrand,The Sundance Company,charlene@sundanceco.com,(208) 322-7300,Lobby/reception area private back work area and single private office with glass to center atrium.,http://www.loopnet.com/lid/17314861,
West Bench,3,3,West Valley Business Center - Bldg A,9422 - 9434 Fairview Ave,9430 Fairview Ave,Boise,Idaho,83704     ,11727 SF,1402 SF,West Bench,Office Building,$0.92 /SF/Mo,$11 /SF/Yr,,Full Service,17314861,Charlene VanOstrand,The Sundance Company,charlene@sundanceco.com,(208) 322-7300,Corner suite with windows provides natural light.  Open work space. Full service less janitorial.,http://www.loopnet.com/lid/17314861,
West Bench,1,1,Kimball Plaza,303 N. Kimball Place,1,Boise,Idaho,83704     ,22076 SF,4662 SF,West Bench,Office Building,$1 /SF/Mo,$12 /SF/Yr,,NNN,17097009,Peter Oliver,Thornton Oliver Keller,peter@tokcommercial.com,(208) 947-0816, ,http://www.loopnet.com/lid/17097009,
West Bench,3,1,Stonegate Office Complex,2995 North Cole Road,200A,Boise,Idaho,83704     ,23838 SF,516 SF,West Bench,Office Building,$0.83 /SF/Mo,$10 /SF/Yr,,Full Service,4259992,Charlene VanOstrand,The Sundance Company,charlene@sundanceco.com,(208) 322-7300,Nice smaller upstairs suite w. windows to foothills.  Reception work area and storage room.  Quiet hallway.    FSTJ,http://www.loopnet.com/lid/4259992,
West Bench,3,2,Stonegate Office Complex,2995 North Cole Road,200C,Boise,Idaho,83704     ,23838 SF,587 SF,West Bench,Office Building,$0.83 /SF/Mo,$10 /SF/Yr,,Full Service,4259992,Charlene VanOstrand,The Sundance Company,charlene@sundanceco.com,(208) 322-7300,Located upstairs with open work area/reception and one private office.  Call of details.  Full Service; excluding tenant janitorial.,http://www.loopnet.com/lid/4259992,
West Bench,3,3,Stonegate Office Complex,2995 North Cole Road,225,Boise,Idaho,83704     ,23838 SF,1736 SF,West Bench,Office Building,$0.83 /SF/Mo,$10 /SF/Yr,,Full Service,4259992,Charlene VanOstrand,The Sundance Company,charlene@sundanceco.com,(208) 322-7300,Great location upstairs with window exposure from the foyer.  Open work area 6 private offices reception sink with counter.,http://www.loopnet.com/lid/4259992,
West Bench,4,1,Westgate Plaza,1755 N. Westgate Drive,280,Boise,Idaho,83704     ,43374 SF,1020 SF,West Bench,Office Building,$1.06 /SF/Mo,$12.75 /SF/Yr,,Full Service,18335465,Karena Gilbert,Thornton Oliver Keller,karena@tokcommercial.com,(208) 947-0853, ,http://www.loopnet.com/lid/18335465,
West Bench,4,2,Westgate Plaza,1755 N. Westgate Drive,105,Boise,Idaho,83704     ,43374 SF,9849 SF,West Bench,Office Building,$1.06 /SF/Mo,$12.75 /SF/Yr,,Full Service,18335465,Karena Gilbert,Thornton Oliver Keller,karena@tokcommercial.com,(208) 947-0853, ,http://www.loopnet.com/lid/18335465,
West Bench,4,3,Westgate Plaza,1755 N. Westgate Drive,225,Boise,Idaho,83704     ,43374 SF,791 SF,West Bench,Office Building,$1.06 /SF/Mo,$12.75 /SF/Yr,,Full Service,18335465,Karena Gilbert,Thornton Oliver Keller,karena@tokcommercial.com,(208) 947-0853, ,http://www.loopnet.com/lid/18335465,
West Bench,4,4,Westgate Plaza,1755 N. Westgate Drive,220,Boise,Idaho,83704     ,43374 SF,1434 SF,West Bench,Office Building,$1.06 /SF/Mo,$12.75 /SF/Yr,,Full Service,18335465,Karena Gilbert,Thornton Oliver Keller,karena@tokcommercial.com,(208) 947-0853, ,http://www.loopnet.com/lid/18335465,
West Bench,1,1,Former Sports Authority,1301 N. Milwaukee Street,1,Boise,Idaho,83704     ,80920 SF,45000 SF,West Bench,Retail (Other),$1 /SF/Mo,$11.95 /SF/Yr,,NNN,20341787,Mark Schlag,Thornton Oliver Keller,marks@tokcommercial.com,(208) 947-0817, ,http://www.loopnet.com/lid/20341787,
West Bench,4,1,Advantage Building,12426 Explorer,210,Boise,Idaho,83713     ,32880 SF,1789 SF,West Bench,Office Building,$1.41 /SF/Mo,$16.95 /SF/Yr,,Full Service,19335837,Jamie Anderson,Colliers,jamie.anderson@colliers.com,(208) 472-2842, ,http://www.loopnet.com/lid/19335837,
West Bench,4,2,Advantage Building,12426 Explorer,230/250,Boise,Idaho,83713     ,32880 SF,4741 SF,West Bench,Office Building,$1.41 /SF/Mo,$16.95 /SF/Yr,,Full Service,19335837,Jamie Anderson,Colliers,jamie.anderson@colliers.com,(208) 472-2842, ,http://www.loopnet.com/lid/19335837,
West Bench,4,3,Advantage Building,12426 Explorer,240,Boise,Idaho,83713     ,32880 SF,1035 SF,West Bench,Office Building,$1.41 /SF/Mo,$16.95 /SF/Yr,,Full Service,19335837,Jamie Anderson,Colliers,jamie.anderson@colliers.com,(208) 472-2842, ,http://www.loopnet.com/lid/19335837,
West Bench,4,4,Advantage Building,12426 Explorer,120,Boise,Idaho,83713     ,32880 SF,4730 SF,West Bench,Office Building,$1.41 /SF/Mo,$16.95 /SF/Yr,,Full Service,19335837,Jamie Anderson,Colliers,jamie.anderson@colliers.com,(208) 472-2842, ,http://www.loopnet.com/lid/19335837,
West Bench,1,1,Boise Office Park,10074 W Fairview Ave,Suite 145,Boise,Idaho,83704     ,3917 SF,500 SF,West Bench,Office Building,$1.20 /SF/Mo,$14.40 /SF/Yr,,Modified Gross,20289575,Cheryl Jeffs,COMPANY NAME NOT PRESENT,cherylj@lakeviewfinancial.net,(208) 401-0299,Reception area with small refrigerator and microwave: one enclosed office; private bathroom,http://www.loopnet.com/lid/20289575,
West Bench,1,1,,3680 E Fairview Ave, ,Meridian,Idaho,83642     ,8000 SF,4024 SF,West Bench,Street Retail,$2.67 /SF/Mo,$32 /SF/Yr,,NNN,20250553,Jeffrey Hall,Northwest Commercial Advisors LLC,jeffrey@nwcommadv.com,(208) 794-8020, ,http://www.loopnet.com/lid/20250553,
West Bench,5,1,West Boise Land,775 N Maple Grove Rd,P1,Boise,Idaho,83704     ,,0.82 AC,West Bench,Office (land),Negotiable,Negotiable,, ,20239862,Jim Boyd,Thornton Oliver Keller,jim@tokcommercial.com,(208) 947-5522, ,http://www.loopnet.com/lid/20239862,
West Bench,5,2,West Boise Land,775 N Maple Grove Rd,P2,Boise,Idaho,83704     ,,0.39 AC,West Bench,Office (land),Negotiable,Negotiable,, ,20239862,Jim Boyd,Thornton Oliver Keller,jim@tokcommercial.com,(208) 947-5522, ,http://www.loopnet.com/lid/20239862,
West Bench,5,3,West Boise Land,775 N Maple Grove Rd,P3,Boise,Idaho,83704     ,,0.51 AC,West Bench,Office (land),Negotiable,Negotiable,, ,20239862,Jim Boyd,Thornton Oliver Keller,jim@tokcommercial.com,(208) 947-5522, ,http://www.loopnet.com/lid/20239862,
West Bench,5,4,West Boise Land,775 N Maple Grove Rd,Lots 1-4,Boise,Idaho,83704     ,,2.47 AC,West Bench,Office (land),Negotiable,Negotiable,, ,20239862,Jim Boyd,Thornton Oliver Keller,jim@tokcommercial.com,(208) 947-5522, ,http://www.loopnet.com/lid/20239862,
West Bench,5,5,West Boise Land,775 N Maple Grove Rd,Lots 9-13,Boise,Idaho,83704     ,,5.16 AC,West Bench,Office (land),Negotiable,Negotiable,, ,20239862,Jim Boyd,Thornton Oliver Keller,jim@tokcommercial.com,(208) 947-5522, ,http://www.loopnet.com/lid/20239862,
West Bench,2,1,Emerald & Mitchell - NWC,9878 W Emerald St,9878 Emerald,Boise,Idaho,83704     ,,2.30 AC,West Bench,Office (land),Negotiable,Negotiable,, ,20239757,Jim Boyd,Thornton Oliver Keller,jim@tokcommercial.com,(208) 947-5522, ,http://www.loopnet.com/lid/20239757,
West Bench,2,2,Emerald & Mitchell - NWC,9878 W Emerald St,665 Mitchell,Boise,Idaho,83704     ,,3.20 AC,West Bench,Office (land),Negotiable,Negotiable,, ,20239757,Jim Boyd,Thornton Oliver Keller,jim@tokcommercial.com,(208) 947-5522, ,http://www.loopnet.com/lid/20239757,
West Bench,1,1,Westpark Warehouse,327 Steelhead Way,327,Boise,Idaho,83704     ,31500 SF,5212 SF,West Bench,Distribution Warehouse,$0.42 /SF/Mo,$5.04 /SF/Yr,,NNN,20207693,John Walsh,Visconti-Walsh Real Estate Services,jawalsh33@gmail.com,(208) 941-5959, ,http://www.loopnet.com/lid/20207693,
West Bench,9,1,Meridian Crossroads,3355 East Fairview Avenue,340,Meridian,Idaho,83642     ,731139 SF,3000 SF,West Bench,Retail (Other),Negotiable,Negotiable,, ,18546927,Austin Tillack,DDR Corp,atillack@ddr.com,(720) 346-3667, ,http://www.loopnet.com/lid/18546927,
West Bench,9,2,Meridian Crossroads,3355 East Fairview Avenue,352,Meridian,Idaho,83642     ,731139 SF,3000 SF,West Bench,Retail (Other),Negotiable,Negotiable,, ,18546927,Austin Tillack,DDR Corp,atillack@ddr.com,(720) 346-3667, ,http://www.loopnet.com/lid/18546927,
West Bench,9,3,Meridian Crossroads,3355 East Fairview Avenue,100,Meridian,Idaho,83642     ,731139 SF,10296 SF,West Bench,Retail (Other),Negotiable,Negotiable,, ,18546927,Austin Tillack,DDR Corp,atillack@ddr.com,(720) 346-3667, ,http://www.loopnet.com/lid/18546927,
West Bench,9,4,Meridian Crossroads,3355 East Fairview Avenue,1P6B,Meridian,Idaho,83642     ,731139 SF,4700 SF,West Bench,Retail (Other),Negotiable,Negotiable,, ,18546927,Austin Tillack,DDR Corp,atillack@ddr.com,(720) 346-3667, ,http://www.loopnet.com/lid/18546927,
West Bench,9,5,Meridian Crossroads,3355 East Fairview Avenue,300,Meridian,Idaho,83642     ,731139 SF,10795 SF,West Bench,Retail (Other),Negotiable,Negotiable,, ,18546927,Austin Tillack,DDR Corp,atillack@ddr.com,(720) 346-3667, ,http://www.loopnet.com/lid/18546927,
West Bench,9,6,Meridian Crossroads,3355 East Fairview Avenue,336,Meridian,Idaho,83642     ,731139 SF,12091 SF,West Bench,Retail (Other),Negotiable,Negotiable,, ,18546927,Austin Tillack,DDR Corp,atillack@ddr.com,(720) 346-3667, ,http://www.loopnet.com/lid/18546927,
West Bench,9,7,Meridian Crossroads,3355 East Fairview Avenue,346,Meridian,Idaho,83642     ,731139 SF,3600 SF,West Bench,Retail (Other),Negotiable,Negotiable,, ,18546927,Austin Tillack,DDR Corp,atillack@ddr.com,(720) 346-3667, ,http://www.loopnet.com/lid/18546927,
West Bench,9,8,Meridian Crossroads,3355 East Fairview Avenue,170,Meridian,Idaho,83642     ,731139 SF,3960 SF,West Bench,Retail (Other),Negotiable,Negotiable,, ,18546927,Austin Tillack,DDR Corp,atillack@ddr.com,(720) 346-3667, ,http://www.loopnet.com/lid/18546927,
West Bench,9,9,Meridian Crossroads,3355 East Fairview Avenue,17,Meridian,Idaho,83642     ,731139 SF,109783 SF,West Bench,Retail (Other),Negotiable,Negotiable,, ,18546927,Austin Tillack,DDR Corp,atillack@ddr.com,(720) 346-3667, ,http://www.loopnet.com/lid/18546927,
West Bench,2,1,Ustick Marketplace Shops,3340 N. Eagle Road,103,Meridian,Idaho,83646     ,10125 SF,1813 SF,West Bench,Restaurant,$1.66 /SF/Mo,$19.95 /SF/Yr,,NNN,19938150,Brianna Miller,Thornton Oliver Keller,brianna@tokcommercial.com,(208) 947-5519, ,http://www.loopnet.com/lid/19938150,
West Bench,2,2,Ustick Marketplace Shops,3340 N. Eagle Road,101,Meridian,Idaho,83646     ,10125 SF,931 SF,West Bench,Restaurant,$1.66 /SF/Mo,$19.95 /SF/Yr,,NNN,19938150,Brianna Miller,Thornton Oliver Keller,brianna@tokcommercial.com,(208) 947-5519, ,http://www.loopnet.com/lid/19938150,
West Bench,1,1,Cole Professional Campus,2308 N Cole Rd,E,Boise,Idaho,83704     ,6658 SF,668 SF,West Bench,Office Building,$0.82 /SF/Mo,$9.88 /SF/Yr,, ,20182179,Steve French,COMPANY NAME NOT PRESENT,admin@swfrenchlaw.com,(208) 321-7373, ,http://www.loopnet.com/lid/20182179,
West Bench,2,1,West Boise Office Space,11513 W Fairview Ave.,105,Boise,Idaho,83713     ,6785 SF,1970 SF,West Bench,FIELD UNAVAILABLE,$0.92 /SF/Mo,$11 /SF/Yr,,Modified Gross,18411557,Michael Hon,FIELD UNAVAILABLE,hon.michael@gmail.com,(208) 939-9033,Six offices conference room reception area and shared bathroom. $200/month additional charge back for water and sewer.,http://www.loopnet.com/lid/18411557,
West Bench,2,2,West Boise Office Space,11513 W Fairview Ave.,103,Boise,Idaho,83713     ,6785 SF,1350 SF,West Bench,FIELD UNAVAILABLE,$0.92 /SF/Mo,$11 /SF/Yr,,Modified Gross,18411557,Michael Hon,FIELD UNAVAILABLE,hon.michael@gmail.com,(208) 939-9033,Four offices reception area and private bathroom. Tenants pay power and gas. $150 monthly charge-back for water sewer and trash.,http://www.loopnet.com/lid/18411557,
West Bench,1,1,Explorer Pointe,12639 W. Explorer Drive,140,Boise,Idaho,83713     ,22489 SF,1320 SF,West Bench,Office Building,$1.63 /SF/Mo,$19.50 /SF/Yr,,Full Service,20098105,Patrick Shalz,Thornton Oliver Keller,pat@tokcommercial.com,(208) 947-0834, ,http://www.loopnet.com/lid/20098105,
West Bench,3,1,Emerald West Plaza,8660 W. Emerald Street,122,Boise,Idaho,83704     ,20506 SF,1200 SF,West Bench,Office Building,$1.17 /SF/Mo,$14 /SF/Yr,,Full Service,19407865,Patrick Shalz,Thornton Oliver Keller,pat@tokcommercial.com,(208) 947-0834, ,http://www.loopnet.com/lid/19407865,
West Bench,3,2,Emerald West Plaza,8660 W. Emerald Street,182,Boise,Idaho,83704     ,20506 SF,801 SF,West Bench,Office Building,$1.17 /SF/Mo,$14 /SF/Yr,,Full Service,19407865,Patrick Shalz,Thornton Oliver Keller,pat@tokcommercial.com,(208) 947-0834, ,http://www.loopnet.com/lid/19407865,
West Bench,3,3,Emerald West Plaza,8660 W. Emerald Street,186,Boise,Idaho,83704     ,20506 SF,1768 SF,West Bench,Office Building,$1.17 /SF/Mo,$14 /SF/Yr,,Full Service,19407865,Patrick Shalz,Thornton Oliver Keller,pat@tokcommercial.com,(208) 947-0834, ,http://www.loopnet.com/lid/19407865,
West Bench,2,1,Bridger 1,12438 W. Bridger Street,150,Boise,Idaho,83713     ,18360 SF,2688 SF,West Bench,Office Building,$1.54 /SF/Mo,$18.50 /SF/Yr,,Full Service,19407861,Patrick Shalz,Thornton Oliver Keller,pat@tokcommercial.com,(208) 947-0834, ,http://www.loopnet.com/lid/19407861,
West Bench,2,2,Bridger 1,12438 W. Bridger Street,175,Boise,Idaho,83713     ,18360 SF,1639 SF,West Bench,Office Building,$1.54 /SF/Mo,$18.50 /SF/Yr,,Full Service,19407861,Patrick Shalz,Thornton Oliver Keller,pat@tokcommercial.com,(208) 947-0834, ,http://www.loopnet.com/lid/19407861,
West Bench,2,1,Benjamin Plaza,8620 W. Emerald Street,160,Boise,Idaho,83704     ,20509 SF,1626 SF,West Bench,Office Building,$1.21 /SF/Mo,$14.50 /SF/Yr,,Full Service,18228952,Patrick Shalz,Thornton Oliver Keller,pat@tokcommercial.com,(208) 947-0834, ,http://www.loopnet.com/lid/18228952,
West Bench,2,2,Benjamin Plaza,8620 W. Emerald Street,130,Boise,Idaho,83704     ,20509 SF,1840 SF,West Bench,Office Building,$1.21 /SF/Mo,$14.50 /SF/Yr,,Full Service,18228952,Patrick Shalz,Thornton Oliver Keller,pat@tokcommercial.com,(208) 947-0834, ,http://www.loopnet.com/lid/18228952,
West Bench,2,1,Westgate Shopping Center,7500 W. Fairview Avenue,7670,Boise,Idaho,83704     ,71945 SF,22105 SF,West Bench,Retail (Other),Negotiable,Negotiable,,NNN,16391462,Mark Schlag,Thornton Oliver Keller,marks@tokcommercial.com,(208) 947-0817, ,http://www.loopnet.com/lid/16391462,
West Bench,2,2,Westgate Shopping Center,7500 W. Fairview Avenue,7500,Boise,Idaho,83704     ,71945 SF,21972 SF,West Bench,Retail (Other),Negotiable,Negotiable,,NNN,16391462,Mark Schlag,Thornton Oliver Keller,marks@tokcommercial.com,(208) 947-0817, ,http://www.loopnet.com/lid/16391462,
West Bench,1,1,6887 Fairview Avenue,6887 W. Fairview Avenue,1/2,Boise,Idaho,83704     ,4935 SF,3290 SF,West Bench,Retail (Other),$1.42 /SF/Mo,$17 /SF/Yr,,NNN,19494098,John Stevens,Thornton Oliver Keller,john@tokcommercial.com,(208) 947-0814, ,http://www.loopnet.com/lid/19494098,
West Bench,1,1,10552 W Garverdale Ct Medical Offices,10552 W Garverdale Ct,904,Boise,Idaho,83704     ,7024 SF,1768 SF,West Bench,Medical Office,$0.88 /SF/Mo,$10.50 /SF/Yr,,Full Service,19915342,Chad Hansen,Property People,chad@propertyrentalpeople.com,(208) 261-1247,Remodeled medical office building located on Five Mile and Fairview. Single story brick prior tenant was a dentist. Reception area waiting room three restrooms two labs and an executive-sized office.,http://www.loopnet.com/lid/19915342,
West Bench,1,1,10306 Emerald,10306 W. Emerald Street,1,Boise,Idaho,83704     ,10000 SF,4982 SF,West Bench,Office Building,$1.25 /SF/Mo,$15 /SF/Yr,,Full Service,19906136,Bob Mitchell,Thornton Oliver Keller,bob@tokcommercial.com,(208) 947-0836, ,http://www.loopnet.com/lid/19906136,
West Bench,2,1,Fremont Place,6213 N. Cloverdale Road,155,Boise,Idaho,83713     ,23688 SF,2087 SF,West Bench,Office Building,$1.25 /SF/Mo,$15 /SF/Yr,,Full Service,19345750,Mike Greene,Thornton Oliver Keller,mikeg@tokcommercial.com,(208) 947-0835, ,http://www.loopnet.com/lid/19345750,
West Bench,2,2,Fremont Place,6213 N. Cloverdale Road,125,Boise,Idaho,83713     ,23688 SF,1069 SF,West Bench,Office Building,$1.25 /SF/Mo,$15 /SF/Yr,,Full Service,19345750,Mike Greene,Thornton Oliver Keller,mikeg@tokcommercial.com,(208) 947-0835, ,http://www.loopnet.com/lid/19345750,
West Bench,2,1,Discovery Pointe,12828 W. Lasalle Street,101,Boise,Idaho,83713     ,7008 SF,1638 SF,West Bench,Office Building,$1.46 /SF/Mo,$17.50 /SF/Yr,,Full Service,16192403,Patrick Shalz,Thornton Oliver Keller,pat@tokcommercial.com,(208) 947-0834, ,http://www.loopnet.com/lid/16192403,
West Bench,2,2,Discovery Pointe,12828 W. Lasalle Street,102,Boise,Idaho,83713     ,7008 SF,1082 SF,West Bench,Office Building,$1.46 /SF/Mo,$17.50 /SF/Yr,,Full Service,16192403,Patrick Shalz,Thornton Oliver Keller,pat@tokcommercial.com,(208) 947-0834, ,http://www.loopnet.com/lid/16192403,
West Bench,1,1,Apollo Building,6148 N. Discovery Way,110,Boise,Idaho,83713     ,21358 SF,2332 SF,West Bench,Office Building,$1.29 /SF/Mo,$15.50 /SF/Yr,,Full Service,19842556,Patrick Shalz,Thornton Oliver Keller,pat@tokcommercial.com,(208) 947-0834, ,http://www.loopnet.com/lid/19842556,
West Bench,1,1,Franklin Towne Plaza,8001-8645  Franklin Road,8645,Boise,Idaho,83704     ,470976 SF,5498 SF,West Bench,Retail (Other),$1.21 /SF/Mo,$14.50 /SF/Yr,,Full Service,19842555,Karena Gilbert,Thornton Oliver Keller,karena@tokcommercial.com,(208) 947-0853, ,http://www.loopnet.com/lid/19842555,
West Bench,1,1,Boise Towne Square Mid-Box,460 North Milwaukee Street,Building,Boise,Idaho,83704     ,50000 SF,50000 SF,West Bench,Retail (Other),$1.25 /SF/Mo,$15 /SF/Yr,, ,19731124,Chad Moore,Mountain West Retail,cmoore@mtnwest.com,(801) 456-8800, ,http://www.loopnet.com/lid/19731124,
West Bench,2,1,Eagle Commons,2830 N. Eagle Road,110,Meridian,Idaho,83642     ,10824 SF,2261 SF,West Bench,Retail (Other),$1.65 /SF/Mo,$19.75 /SF/Yr,,NNN,19700044,Mark Schlag,Thornton Oliver Keller,marks@tokcommercial.com,(208) 947-0817, ,http://www.loopnet.com/lid/19700044,
West Bench,2,2,Eagle Commons,2830 N. Eagle Road,115,Meridian,Idaho,83642     ,10824 SF,1894 SF,West Bench,Retail (Other),$1.92 /SF/Mo,$23 /SF/Yr,,NNN,19700044,Mark Schlag,Thornton Oliver Keller,marks@tokcommercial.com,(208) 947-0817, ,http://www.loopnet.com/lid/19700044,
West Bench,1,1,4250 Fairview Avenue,4250 E. Fairview Avenue,1,Meridian,Idaho,83642     ,4591 SF,4591 SF,West Bench,Free Standing Bldg,$1.88 /SF/Mo,$22.50 /SF/Yr,,NNN,19689578,Holly Chetwood,Thornton Oliver Keller,holly@tokcommercial.com,(208) 947-0827, ,http://www.loopnet.com/lid/19689578,
West Bench,1,1,9275 Chinden Blvd,9275 W. Chinden Blvd,Space 1,Garden City,Idaho,83714     ,,0.46 AC,West Bench,Commercial/Other (land),Negotiable,Negotiable,, ,19409517,Lenny Nelson,Thornton Oliver Keller,lenny@tokcommercial.com,(208) 378-4600, ,http://www.loopnet.com/lid/19409517,
West Bench,1,1,Plaza Seven Building,5257 Fairview Avenue,Suite 220,Boise,Idaho,83706     ,28994 SF,2046 SF,West Bench,Office Building,$1.13 /SF/Mo,$13.50 /SF/Yr,,Full Service,19378526,Jamie Anderson,Colliers,jamie.anderson@colliers.com,(208) 472-2842, ,http://www.loopnet.com/lid/19378526,
West Bench,1,1,Boise Research Center Parcels,Discovery Way,1,Boise,Idaho,83713     ,36000 SF,36000 SF,West Bench,Flex Space,Negotiable,Negotiable,, ,19280267,Peter Oliver,Thornton Oliver Keller,peter@tokcommercial.com,(208) 947-0816, ,http://www.loopnet.com/lid/19280267,
West Bench,4,1,Westpark Corp Campus C,9925-9939 W. Emerald Street,9925,Boise,Idaho,83704     ,19040 SF,2400 SF,West Bench,Flex Space,$0.67 /SF/Mo,$8.04 /SF/Yr,,NNN,13732684,Dan Minnaert,Thornton Oliver Keller,dan@tokcommercial.com,(208) 947-0845, ,http://www.loopnet.com/lid/13732684,
West Bench,4,2,Westpark Corp Campus C,9925-9939 W. Emerald Street,9939,Boise,Idaho,83704     ,19040 SF,7255 SF,West Bench,Flex Space,$0.69 /SF/Mo,$8.28 /SF/Yr,,NNN,13732684,Dan Minnaert,Thornton Oliver Keller,dan@tokcommercial.com,(208) 947-0845, ,http://www.loopnet.com/lid/13732684,
West Bench,4,3,Westpark Corp Campus C,9925-9939 W. Emerald Street,9931,Boise,Idaho,83704     ,19040 SF,2813 SF,West Bench,Flex Space,$0.55 /SF/Mo,$6.60 /SF/Yr,,NNN,13732684,Dan Minnaert,Thornton Oliver Keller,dan@tokcommercial.com,(208) 947-0845, ,http://www.loopnet.com/lid/13732684,
West Bench,4,4,Westpark Corp Campus C,9925-9939 W. Emerald Street,9933,Boise,Idaho,83704     ,19040 SF,2723 SF,West Bench,Flex Space,$0.60 /SF/Mo,$7.20 /SF/Yr,,NNN,13732684,Dan Minnaert,Thornton Oliver Keller,dan@tokcommercial.com,(208) 947-0845, ,http://www.loopnet.com/lid/13732684,
West Bench,1,1,450 Maple Grove,450 S. Maple Grove Road,1,Boise,Idaho,83709     ,1200 SF,1200 SF,West Bench,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Modified Gross,19272032,Mike Greene,Thornton Oliver Keller,mikeg@tokcommercial.com,(208) 947-0835, ,http://www.loopnet.com/lid/19272032,
West Bench,1,1,3155 Fairview,3155 E. Fairview Ave,Space 1,Meridian,Idaho,83642     ,,38968 SF,West Bench,Retail (land),Negotiable,Negotiable,, ,19229346,Chris Pearson,Thornton Oliver Keller,chris@tokcommercial.com,(208) 947-0859, ,http://www.loopnet.com/lid/19229346,
West Bench,1,1,Spring Point,10274-10280 W. Ustick Road,10280,Boise,Idaho,83704     ,3975 SF,2313 SF,West Bench,Office Building,$0.99 /SF/Mo,$11.90 /SF/Yr,,Full Service,19216654,Jim Boyd,Thornton Oliver Keller,jim@tokcommercial.com,(208) 947-5522, ,http://www.loopnet.com/lid/19216654,
West Bench,1,1,Bridger 3,12586 W. Bridger Street,100,Boise,Idaho,83713     ,17936 SF,3579 SF,West Bench,Office Building,$1.25 /SF/Mo,$14.95 /SF/Yr,,Full Service,18897073,Patrick Shalz,Thornton Oliver Keller,pat@tokcommercial.com,(208) 947-0834, ,http://www.loopnet.com/lid/18897073,
West Bench,4,1,Aspen West,7213 - 7275 Potomac,7239,Boise,Idaho,83704     ,9800 SF,432 SF,West Bench,Office Building,$1.04 /SF/Mo,$12.50 /SF/Yr,,Full Service,16603645,Scott Nicholson,Boise Valley Commercial Real Estate,scott@bvcre.com,(208) 890-3939,FIELD UNAVAILABLE,http://www.loopnet.com/lid/16603645,
West Bench,4,2,Aspen West,7213 - 7275 Potomac,7239 A,Boise,Idaho,83704     ,9800 SF,240 SF,West Bench,Office Building,$1.10 /SF/Mo,$13.25 /SF/Yr,,Other,16603645,Scott Nicholson,Boise Valley Commercial Real Estate,scott@bvcre.com,(208) 890-3939,FIELD UNAVAILABLE,http://www.loopnet.com/lid/16603645,
West Bench,4,3,Aspen West,7213 - 7275 Potomac,7239 B,Boise,Idaho,83704     ,9800 SF,191 SF,West Bench,Office Building,$1.31 /SF/Mo,$15.71 /SF/Yr,,Full Service,16603645,Scott Nicholson,Boise Valley Commercial Real Estate,scott@bvcre.com,(208) 890-3939,FIELD UNAVAILABLE,http://www.loopnet.com/lid/16603645,
West Bench,4,4,Aspen West,7213 - 7275 Potomac,7265 E,Boise,Idaho,83704     ,9800 SF,495 SF,West Bench,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Other,16603645,Scott Nicholson,Boise Valley Commercial Real Estate,scott@bvcre.com,(208) 890-3939,FIELD UNAVAILABLE,http://www.loopnet.com/lid/16603645,
West Bench,2,1,600 Armstrong,600 N. Armstrong Place,120,Boise,Idaho,83704     ,17340 SF,3877 SF,West Bench,Office Building,$1.08 /SF/Mo,$13 /SF/Yr,,Full Service,18142902,Karena Gilbert,Thornton Oliver Keller,karena@tokcommercial.com,(208) 947-0853, ,http://www.loopnet.com/lid/18142902,
